AuthorId,RecipeId,Rating,Like
1000036C,320576,2.0,0
1000216B,189335,2.0,0
1000221A,133043,2.0,0
1000221A,90537,2.0,0
1000221A,334314,2.0,0
1000221A,17444,2.0,0
1000221A,149981,2.0,0
1000221A,25898,2.0,0
1000221A,38301,2.0,0
1000221A,103076,2.0,0
100026E,209118,2.0,0
1000399C,102933,2.0,0
1000475B,56276,2.0,0
1000509D,292905,2.0,0
1000555A,484453,2.0,0
1000555A,455068,2.0,0
1000555A,503818,2.0,0
1000555A,482354,2.0,0
1000555A,443880,2.0,0
1000555A,191676,2.0,0
1000555A,99415,2.0,0
1000555A,513879,2.0,0
1000555A,370663,2.0,0
1000555A,56965,2.0,0
1000555A,440346,2.0,0
1000555A,491477,2.0,0
1000555A,484895,2.0,1
1000555A,51785,2.0,1
1000590A,176016,2.0,0
1000696B,12656,2.0,0
1000696B,77482,2.0,0
1000696B,161324,2.0,0
1000696B,115905,2.0,0
1000696B,12633,2.0,1
100069A,130055,2.0,0
1000735B,46868,2.0,0
1000735B,22671,2.0,0
1000735B,81157,2.0,0
1000785A,95442,2.0,0
1000785A,294204,2.0,0
1000785A,199763,2.0,0
1000873D,96745,2.0,1
10008C,196312,2.0,0
10008C,263151,2.0,0
10008C,253946,2.0,0
10008C,102909,2.0,0
10008C,320479,2.0,0
10008C,262820,2.0,0
10008C,352040,2.0,0
10008C,356135,2.0,0
10008C,226849,2.0,0
10008C,215476,2.0,0
10008C,457823,2.0,0
10008C,221324,2.0,0
10008C,238546,2.0,0
10008C,266472,2.0,0
10008C,173982,2.0,0
10008C,242308,2.0,0
10008C,7577,2.0,0
10008C,58781,2.0,0
10008C,245562,2.0,0
10008C,232419,2.0,0
10008C,24345,2.0,0
10008C,113203,2.0,0
10008C,43607,2.0,0
10008C,21304,2.0,0
10008C,270302,2.0,0
10008C,168371,2.0,0
10008C,19402,2.0,0
10008C,240971,2.0,0
10008C,10041,2.0,0
10008C,457915,2.0,0
10008C,429619,2.0,0
10008C,109758,2.0,0
10008C,420619,2.0,0
10008C,239398,2.0,0
10008C,249041,2.0,0
10008C,246973,2.0,0
10008C,266737,2.0,0
10008C,189327,2.0,0
1000928D,87782,2.0,0
1000928D,356187,2.0,0
1000940C,436332,2.0,0
1001194E,420398,2.0,0
100138C,83754,2.0,0
1001473D,521042,2.0,0
100147A,105865,2.0,0
1001556D,96819,2.0,0
1001581B,39613,2.0,0
1001660A,23108,2.0,0
1001660A,6482,2.0,0
1001799A,158978,2.0,0
100196E,109348,2.0,0
1002104C,132794,2.0,0
1002357B,3595,2.0,0
1002357B,77666,2.0,1
1002391C,38290,2.0,0
1002391C,214587,2.0,0
1002864B,57953,2.0,0
100286E,82102,2.0,0
1002884C,169085,2.0,0
1002960B,79090,2.0,0
1002960B,263305,2.0,0
1002960B,118498,2.0,0
1002960B,72460,2.0,0
1002960B,322468,2.0,0
1002960B,252934,2.0,0
100296B,61304,2.0,0
1002979C,107841,2.0,0
1003214B,57763,2.0,0
100325C,153170,2.0,0
1003326B,215600,2.0,0
1003439C,129971,2.0,0
1003501D,182976,2.0,0
1003501D,59224,2.0,0
1003501D,179945,2.0,0
1003501D,204460,2.0,0
1003501D,186465,2.0,0
1003501D,33671,2.0,0
1003501D,86750,2.0,0
1003808A,63314,2.0,1
1004045B,289077,2.0,1
1004102E,385579,2.0,1
1004452C,106732,2.0,1
1004452C,31901,2.0,1
1004471B,115127,2.0,0
1004471B,424830,2.0,0
1004694B,24687,2.0,0
1004694B,447508,2.0,0
1004694B,100408,2.0,0
100476B,273013,2.0,1
1004977C,31371,2.0,0
1004977C,25754,2.0,0
1004977C,45809,2.0,0
1004977C,27208,2.0,0
1004977C,113198,2.0,0
1004977C,257276,2.0,0
1005204A,27684,2.0,0
1005276B,34382,2.0,0
1005276B,38748,2.0,0
1005276B,34103,2.0,0
1005276B,10733,2.0,0
1005276B,107786,2.0,0
1005276B,293636,2.0,1
1005591C,110733,2.0,0
1005623E,16773,2.0,0
1005623E,172804,2.0,0
1005623E,281278,2.0,0
1005623E,108184,2.0,0
1005623E,23276,2.0,0
1005623E,31958,2.0,0
1005623E,68406,2.0,0
1005623E,26431,2.0,0
1005623E,109264,2.0,0
1005623E,79595,2.0,0
1005800B,72864,2.0,0
1005800B,237985,2.0,0
1005800B,60634,2.0,0
1005800B,100355,2.0,0
1005800B,52025,2.0,0
1005800B,99702,2.0,0
1005800B,33113,2.0,0
1005800B,16883,2.0,0
1005803E,349246,2.0,0
1005914B,90231,2.0,1
100621E,22978,2.0,0
1006230D,446237,2.0,0
1006327E,133718,2.0,0
1006518E,9160,2.0,0
1006518E,68955,2.0,1
10065368A,110047,2.0,0
10065368A,176813,2.0,0
10065368A,203222,2.0,0
1006536D,48466,2.0,0
1006571C,17260,2.0,0
1006571C,10625,2.0,1
1006634C,11669,2.0,0
10066622C,9135,2.0,0
1006712E,49899,2.0,0
1006712E,4734,2.0,0
100677E,59829,2.0,0
1007193E,509581,2.0,1
1007197A,121258,2.0,0
1007249D,127262,2.0,1
1007252B,346500,2.0,0
1007252B,43186,2.0,0
1007252B,276891,2.0,0
1007296C,9186,2.0,0
1007469A,38065,2.0,1
100770C,441782,2.0,0
1007722B,83547,2.0,0
1007722B,166623,2.0,0
1007722B,151541,2.0,0
1007722B,170851,2.0,0
1007722B,26168,2.0,0
1007722B,17080,2.0,0
1007722B,126025,2.0,0
1007722B,194902,2.0,0
1007722B,92334,2.0,0
1007722B,112575,2.0,0
1007722B,184510,2.0,0
1007722B,16870,2.0,0
1007722B,218528,2.0,0
1007722B,245581,2.0,0
1007722B,134486,2.0,0
1007722B,135210,2.0,0
1007722B,212715,2.0,0
1007722B,70016,2.0,0
1007722B,68512,2.0,0
1007722B,172763,2.0,0
1007722B,282992,2.0,0
1007722B,144975,2.0,0
1007722B,211498,2.0,0
1007722B,59899,2.0,0
1007722B,285077,2.0,0
1007722B,97169,2.0,0
1007722B,150473,2.0,0
1007722B,282969,2.0,0
1007722B,179729,2.0,0
1007722B,47391,2.0,0
1007722B,76913,2.0,0
1007722B,283072,2.0,0
1007722B,51935,2.0,0
1007722B,110156,2.0,0
1007722B,53594,2.0,0
1007722B,243278,2.0,0
1007722B,61726,2.0,0
1007722B,50124,2.0,0
1007722B,104680,2.0,1
1007722B,69033,2.0,1
1007722B,82039,2.0,1
1007722B,154147,2.0,1
1007815A,40879,2.0,0
1007815A,144771,2.0,0
1007815A,147691,2.0,0
1007815A,187260,2.0,0
1007815A,35450,2.0,0
1007815A,133826,2.0,0
1007815A,157977,2.0,0
1007815A,85955,2.0,0
1007815A,194301,2.0,0
1007815A,100480,2.0,0
1007815A,75309,2.0,0
1007815A,132698,2.0,0
1007821A,80647,2.0,0
1007821A,76628,2.0,0
1007920E,21706,2.0,0
1008067C,123287,2.0,0
1008067C,109785,2.0,0
1008067C,62778,2.0,0
1008067C,25348,2.0,0
1008067C,9326,2.0,1
100824C,133877,2.0,0
1008441D,293899,2.0,0
1008442E,137674,2.0,0
1008454B,67256,2.0,0
1008493C,240524,2.0,0
100856D,9836,2.0,0
1008587B,290662,2.0,0
1008654D,255373,2.0,0
1008752C,46560,2.0,0
100891B,437493,2.0,1
1009072B,437729,2.0,0
1009208B,8424,2.0,0
1009652E,220758,2.0,0
10097736C,19724,2.0,0
10097736C,66549,2.0,1
100985C,504257,2.0,0
100998B,141983,2.0,0
1010031C,61181,2.0,0
101011D,123104,2.0,0
1010253E,140839,2.0,0
1010284A,70097,2.0,1
1010284A,179,2.0,1
1010371B,98867,2.0,1
1010448A,18816,2.0,0
1010661C,192415,2.0,1
1010741E,325034,2.0,0
1010907A,83561,2.0,0
1010907A,35889,2.0,0
1010982A,317786,2.0,0
101100A,1209,2.0,0
101100A,89204,2.0,1
1011076B,44126,2.0,0
1011076B,450153,2.0,0
101110E,331489,2.0,1
1011585D,188079,2.0,0
1011585D,151432,2.0,0
1011585D,67733,2.0,0
1011585D,82334,2.0,0
1011622D,71906,2.0,0
1011622D,57609,2.0,0
1011647B,195212,2.0,0
1011647B,38084,2.0,0
1011702B,248110,2.0,0
1011702B,157549,2.0,0
1011702B,109544,2.0,0
1011702B,24253,2.0,0
1011702B,295986,2.0,0
1011702B,317924,2.0,0
1011702B,323424,2.0,0
1011702B,234611,2.0,0
1011702B,95222,2.0,0
1011702B,27208,2.0,0
1011702B,283848,2.0,0
1011702B,197195,2.0,0
1011749D,18147,2.0,0
1011756D,356383,2.0,0
1011770C,14928,2.0,0
1011811B,64264,2.0,0
1011811B,18693,2.0,1
1011827A,4746,2.0,0
101184D,69173,2.0,0
101184D,97496,2.0,0
101184D,26947,2.0,1
1011953E,351561,2.0,0
1011973A,122123,2.0,0
1011999C,189642,2.0,0
1012114E,417900,2.0,0
1012204E,296608,2.0,0
1012250D,302791,2.0,0
1012250D,491090,2.0,0
1012250D,517709,2.0,0
1012250D,30484,2.0,0
1012250D,201849,2.0,0
1012605C,130042,2.0,1
1012605C,31546,2.0,1
1012631E,200031,2.0,0
1012631E,3564,2.0,0
1012643C,225424,2.0,0
1012712B,404027,2.0,0
1012712B,391316,2.0,0
1012712B,133751,2.0,0
101275B,106342,2.0,0
101275B,62709,2.0,0
101275B,71453,2.0,0
101293E,100104,2.0,0
1012957D,17846,2.0,0
101298B,155331,2.0,0
101303A,32204,2.0,0
1013084B,51199,2.0,0
1013144C,16249,2.0,0
1013161D,197712,2.0,0
1013196C,14148,2.0,0
101320B,245887,2.0,0
1013355C,24521,2.0,0
101343E,19871,2.0,0
1013682B,122847,2.0,0
1013778B,411045,2.0,0
101380E,66575,2.0,0
1013833A,301985,2.0,0
1014092E,83708,2.0,0
1014390C,32080,2.0,0
1014532A,107544,2.0,0
101456C,10797,2.0,1
101459E,184070,2.0,0
1014955D,49695,2.0,0
1014955D,31477,2.0,0
1014955D,182629,2.0,0
1015040A,398884,2.0,0
1015162A,193356,2.0,0
101547E,27372,2.0,0
1015490A,15242,2.0,0
10155139D,332328,2.0,0
101563A,190896,2.0,0
1015739D,102617,2.0,0
1015739D,409833,2.0,0
1015739D,421331,2.0,0
1015739D,80843,2.0,0
1015739D,52298,2.0,0
1015739D,330000,2.0,0
1015739D,27475,2.0,0
1015739D,42886,2.0,0
1015739D,40470,2.0,0
1015739D,54257,2.0,0
1015739D,99952,2.0,0
1015739D,77397,2.0,0
1015739D,503123,2.0,0
